"","orden","id.x","dominant_topic","topic_perc_contrib","keywords","text","topic","id.y","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","contexto_id"
"1",1,0,8,0.282999992370605,"falto, poder, publicar, jovenes, espacio, adolescente, adultos_mayores, escuchar, callar, drogar","['mejores_sueldos']","Espacios públicos",2,"grupo scout rucamanqui (tropa 1)",6,6101,"10 a 13",8,"Otro"
"2",2,1,6,0.448900014162064,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['sentir', 'pasar', 'llevar']","Derechos sociales e igualdad",3,"liceo   industrial",12,12101,"14 a 18",200,"Establecimiento Educacional"
"3",3,2,7,0.475800007581711,"acceso, trabajar, hospital, mascota, parlamentario, areas_verdes, dialogos, inadecuado, digno, infantil","['acceso', 'trabajo', 'digno', 'estable']","Acceso a servicios y prestaciones dignas",4,"consejo consultivo de infancia",16,16108,"14 a 18",9,"Consejo Consultivo"
"4",4,3,1,0.334199994802475,"mejorar, salud, mayor, educacion, pensionar, casar, mejor, calidad, oportunidad, sistema","['salud']","Mejorar calidad y acceso a salud y educación",5,"oficina local de la niñez santiago",13,13101,"Todos",20,"Oficina Local de la Niñez"
"5",5,4,1,0.503499984741211,"mejorar, salud, mayor, educacion, pensionar, casar, mejor, calidad, oportunidad, sistema","['mejorar', 'sistema', 'pensionar']","Mejorar calidad y acceso a salud y educación",8,"opd lebu",8,8201,"14 a 18",67,"Consejo Consultivo"
"6",6,5,6,0.732500016689301,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['lejos', 'importancia', 'dar', 'pasar', 'tiempo', 'familia', 'especialmente', 'papar', 'mamar', 'principal', 'temer', 'senalado']","Derechos sociales e igualdad",10,"colegio villa cartago",5,5603,"4 a 5",13,"Establecimiento Educacional"
"7",7,6,6,0.377799987792969,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['infraestructura', 'lugar']","Derechos sociales e igualdad",11,"fútbol calle municipalidad",5,5602,"6 a 9",7,"Otro"
"8",8,7,4,0.374099999666214,"personar, violencia, necesidad, ser, aguar, recurso, transportar, generar, necesitar, malo","['equidad', 'generar']","Conectividad y transporte",12,"escuela villa mercedes 6to basico",8,8309,"10 a 13",10,"Establecimiento Educacional"
"9",9,8,4,0.374099999666214,"personar, violencia, necesidad, ser, aguar, recurso, transportar, generar, necesitar, malo","['equidad', 'generar']","Conectividad y transporte",13,"escuela villa mercedes 6to basico",8,8309,"10 a 13",8,"Establecimiento Educacional"
"10",10,9,4,0.512399971485138,"personar, violencia, necesidad, ser, aguar, recurso, transportar, generar, necesitar, malo","['personar', 'poder', 'dialogar', 'necesidad', 'llegar', 'violencia']","Conectividad y transporte",14,"municipalidad de salamanca",4,4204,"10 a 13",10,"Establecimiento Educacional"
"11",11,10,9,0.233199998736382,"respetar, partir, piscina, hacer, colegio, comuna, problema, necesario, sector, ademar","['respetar']","Espacios recreativos y de esparcimiento",15,"opd",10,10109,"10 a 13",7,"Programa Sename"
"12",12,11,6,0.47859999537468,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['observar', 'importancia', 'vivir_lugar', 'peligrar', 'contaminar', 'necesidad', 'generar', 'mayor', 'instancia', 'escuchar', 'ciudadano']","Derechos sociales e igualdad",16,"oficina local de la niñez",4,4101,"6 a 9",12,"Establecimiento Educacional"
"13",13,12,1,0.431199997663498,"mejorar, salud, mayor, educacion, pensionar, casar, mejor, calidad, oportunidad, sistema","['educacion', 'calidad']","Mejorar calidad y acceso a salud y educación",17,"opd zona sur consejo de infancia",10,10201,"10 a 13",13,"Consejo Consultivo"
"14",14,13,1,0.431199997663498,"mejorar, salud, mayor, educacion, pensionar, casar, mejor, calidad, oportunidad, sistema","['mejor', 'salud']","Mejorar calidad y acceso a salud y educación",18,"opd rinconada y chile crece contigo",5,5303,"10 a 13",9,"Oficina de Protección de Derechos"
"15",15,14,2,0.568300008773804,"menos, cambiar, padre, igualdad_genero, actividad, politicos, disminuir, saqueo, calle, mayor_cantidad","['describir', 'ambiente', 'militar', 'calle', 'saqueo', 'muerte', 'civil', 'incendio']","Cambios políticos y culturales",19,"oficina local de niñez la serena",4,4101,"10 a 13",9,"Oficina Local de la Niñez"
"16",16,15,5,0.302100002765656,"mas, tener, ninos, carabinero, coser, seguridad, ir, alto, deber, deportar","['necesidad', 'pasar', 'tiempo_padres']","Seguridad",20,"jardin infantil los patitos",5,5109,"4 a 5",10,"Establecimiento Educacional"
"17",17,16,6,0.630400002002716,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['ninos', 'espaciar', 'actual', 'mejor', 'espaciar', 'vivir', 'juntar', 'familia', 'tambien', 'notorio', 'bandera', 'chileno', 'pertenencia']","Derechos sociales e igualdad",21,"oficina local de la niñez",4,4101,"4 a 5",14,"Establecimiento Educacional"
"18",18,17,6,0.232199996709824,"social, igualdad, familia, gratuito, derecho, lugar, vida, poblar, tiempo, dar","['justicia', 'social']","Derechos sociales e igualdad",22,"escuela jerónimo godoy villanueva",4,4105,"10 a 13",9,"Establecimiento Educacional"
"19",19,18,2,0.222900003194809,"menos, cambiar, padre, igualdad_genero, actividad, politicos, disminuir, saqueo, calle, mayor_cantidad","['padre']","Cambios políticos y culturales",23,"jardín infantil los sarmientos",16,16206,"4 a 5",15,"Establecimiento Educacional"
