"","orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
"1",1,0,1,0.22859999537468,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['gobierno', 'subir', 'paulatinamente', 'sueldo_minimo']","Tópic_1","grupo scout rucamanqui (tropa 1)",6,6101,3,8,"Grupos Scout"
"2",2,1,1,0.258199989795685,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['aumento', 'sueldo_minimo']","Tópic_1","liceo   industrial",12,12101,4,200,"Liceos"
"3",3,2,9,0.204099997878075,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['realizar', 'acción', 'concreto', 'corto', 'plazo', 'educacion', 'trabajo', 'sueldo', 'calidad', 'vida', 'familiar']","Tópic_9","consejo consultivo de infancia",16,16108,4,9,"Consejo Consultivo de la Niñéz"
"4",4,3,7,0.344099998474121,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['educacion', 'pedir']","Tópic_7","oficina local de la niñez santiago",13,13101,5,20,"Oficina Local de la Niñez"
"5",5,4,8,0.252700001001358,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['representacion', 'adolescente']","Tópic_8","opd lebu",8,8201,4,67,"OPD"
"6",6,5,1,0.470200002193451,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['papa', 'mama', 'trabajen', 'menos', 'pasar', 'mas', 'tiempo']","Tópic_1","colegio villa cartago",5,5603,1,13,"Liceos"
"7",7,6,8,0.314999997615814,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mejorar', 'espacio', 'ejecucion', 'taller', 'pintura', 'cierre', 'basurero']","Tópic_8","fútbol calle municipalidad",5,5602,2,7,"Clubes Deportivos"
"8",8,7,8,0.306699991226196,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ocurrir', 'malos_trato', 'injusticia']","Tópic_8","escuela villa mercedes 6to basico",8,8309,3,10,"Escuelas"
"9",9,8,8,0.306699991226196,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ocurrir', 'malos_trato', 'injusticia']","Tópic_8","escuela villa mercedes 6to basico",8,8309,3,8,"Escuelas"
"10",10,9,6,0.196799993515015,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['dialogar', 'violencia']","Tópic_6","municipalidad de salamanca",4,4204,3,10,"Municipalidades"
"11",11,10,2,0.19760000705719,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['nino']","Tópic_2","opd",10,10109,3,7,"OPD"
"12",12,11,2,0.479200005531311,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['referir', 'proponer', 'termino', 'marcha', 'deber', 'gran', 'cantidad', 'disturbio', 'rayar', 'quema', 'privado', 'mayor', 'queja', 'grupo']","Tópic_2","oficina local de la niñez",4,4101,2,12,"Oficina Local de la Niñez"
"13",13,12,5,0.313400000333786,"trabajo, ley, carabinero, vivir, tambien, ayudar, situacion, playa, salir, mejores_pensión","['eliminacion', 'admisión', 'escolar', 'tombola']","Tópic_5","opd zona sur consejo de infancia",10,10201,3,13,"OPD"
"14",14,13,4,0.435900002717972,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['trabajar', 'constantemente', 'dialogo', 'entregar', 'mejora', 'comuna', 'pais']","Tópic_4","opd rinconada y chile crece contigo",5,5303,3,9,"OPD"
"15",15,14,0,0.431199997663498,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['querer', 'buen', 'sueldo', 'buena', 'casa']","Tópic_0","oficina local de niñez la serena",4,4101,3,9,"Oficina Local de la Niñez"
"16",16,15,8,0.307500004768372,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['cuidar', 'plaza', 'juego']","Tópic_8","jardin infantil los patitos",5,5109,1,10,"Jardines Infantiles"
"17",17,16,3,0.42289999127388,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['romper', 'chile', 'cuidar', 'amor', 'paz', 'dibujar', 'rayado']","Tópic_3","oficina local de la niñez",4,4101,1,14,"Oficina Local de la Niñez"
"18",18,17,7,0.247299998998642,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['medida']","Tópic_7","escuela jerónimo godoy villanueva",4,4105,3,9,"Escuelas"
"19",19,18,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['alegria']","Tópic_1","jardín infantil los sarmientos",16,16206,1,15,"Jardines Infantiles"
"20",20,19,8,0.218400001525879,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['trabajo', 'padre']","Tópic_8","alumnos escuela valle de lonquen",16,16207,1,29,"Escuelas"
"21",21,20,9,0.679400026798248,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['contar', 'gimnasio', 'cancha_futbol', 'adecuado', 'recreacion', 'permitir', 'desarrollar', 'habilidad', 'deportivo', 'actividad', 'fisico']","Tópic_9","comunidad rural huacanilahue",9,9111,1,10,"No detectado"
"22",22,21,7,0.215499997138977,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['justicia', 'pueblo']","Tópic_7","colegio jorge williams",5,5101,3,34,"Liceos"
"23",23,22,7,0.215499997138977,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['mejor', 'sueldo']","Tópic_7","consejo consultivo de niños y niñas santa barbara",8,8311,5,12,"Consejo Consultivo de la Niñéz"
"24",24,23,3,0.194900006055832,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['marcha', 'violento']","Tópic_3","chcc coronel",8,8102,5,25,"No detectado"
"25",25,24,3,0.403800010681152,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['protestar', 'forma', 'ordenado', 'violencia']","Tópic_3","chile crece contigo",8,8204,2,18,"Programas NNA"
"26",26,25,9,0.544099986553192,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['abuso', 'fuerzas_armada', 'violación', 'derechos_humano', 'joven', 'proponer', 'formacion', 'comportamiento', 'acción', 'parte', 'joven', 'mantener', 'grabación', 'hecho', 'informant', 'activo', 'frente', 'hecho', 'participar', 'mas', 'cabildo', 'hacer', 'conciencia', 'tema']","Tópic_9","consejo consultivo cadan",7,7406,4,11,"Consejo Consultivo de la Niñéz"
